,date,close
0,2020-01-27,111.6
1,2020-01-28,113.38
2,2020-01-29,116.2
3,2020-01-30,128.16
4,2020-01-31,130.11
5,2020-02-03,156.0
6,2020-02-04,177.41
7,2020-02-05,146.94
8,2020-02-06,149.79
9,2020-02-07,149.61
10,2020-02-10,154.26
11,2020-02-11,154.88
12,2020-02-12,153.46
13,2020-02-13,160.8
14,2020-02-14,160.01
15,2020-02-18,171.68
16,2020-02-19,183.48
17,2020-02-20,179.88
18,2020-02-21,180.2
19,2020-02-24,166.76
20,2020-02-25,159.98
21,2020-02-26,155.76
22,2020-02-27,135.8
23,2020-02-28,133.6
24,2020-03-02,148.72
25,2020-03-03,149.1
26,2020-03-04,149.9
27,2020-03-05,144.91
28,2020-03-06,140.7
29,2020-03-09,121.6
30,2020-03-10,129.07
31,2020-03-11,126.85
32,2020-03-12,112.11
33,2020-03-13,109.32
34,2020-03-16,89.01
35,2020-03-17,86.04
36,2020-03-18,72.24
37,2020-03-19,85.53
38,2020-03-20,85.51
39,2020-03-23,86.86
40,2020-03-24,101.0
41,2020-03-25,107.85
42,2020-03-26,105.63
43,2020-03-27,102.87
44,2020-03-30,100.43
45,2020-03-31,104.8
46,2020-04-01,96.31
47,2020-04-02,90.89
48,2020-04-03,96.0
49,2020-04-06,103.25
50,2020-04-07,109.09
51,2020-04-08,109.77
52,2020-04-09,114.6
53,2020-04-13,130.19
54,2020-04-14,141.98
55,2020-04-15,145.97
56,2020-04-16,149.04
57,2020-04-17,150.78
58,2020-04-20,149.27
59,2020-04-21,137.34
60,2020-04-22,146.42
61,2020-04-23,141.13
62,2020-04-24,145.03
63,2020-04-27,159.75
64,2020-04-28,153.82
65,2020-04-29,160.1
66,2020-04-30,156.38
67,2020-05-01,140.26
68,2020-05-04,152.24
69,2020-05-05,153.64
70,2020-05-06,156.52
71,2020-05-07,156.01
72,2020-05-08,163.88
73,2020-05-11,162.26
74,2020-05-12,161.88
75,2020-05-13,158.19
76,2020-05-14,160.67
77,2020-05-15,159.83
78,2020-05-18,162.73
79,2020-05-19,161.6
80,2020-05-20,163.11
81,2020-05-21,165.52
82,2020-05-22,163.38
83,2020-05-26,163.77
84,2020-05-27,164.05
85,2020-05-28,161.16
86,2020-05-29,167.0
87,2020-06-01,179.62
88,2020-06-02,176.31
89,2020-06-03,176.59
90,2020-06-04,172.88
91,2020-06-05,177.13
92,2020-06-08,189.98
93,2020-06-09,188.13
94,2020-06-10,205.01
95,2020-06-11,194.57
96,2020-06-12,187.06
97,2020-06-15,198.18
98,2020-06-16,196.43
99,2020-06-17,198.36
100,2020-06-18,200.79
101,2020-06-19,200.18
102,2020-06-22,198.86
103,2020-06-23,200.36
104,2020-06-24,192.17
105,2020-06-25,197.2
106,2020-06-26,191.95
107,2020-06-29,201.87
108,2020-06-30,215.96
109,2020-07-01,223.93
110,2020-07-02,241.73
111,2020-07-06,274.32
112,2020-07-07,277.97
113,2020-07-08,273.18
114,2020-07-09,278.86
115,2020-07-10,308.93
116,2020-07-13,299.41
117,2020-07-14,303.36
118,2020-07-15,309.2
119,2020-07-16,300.13
120,2020-07-17,300.17
121,2020-07-20,328.6
122,2020-07-21,313.67
123,2020-07-22,318.47
124,2020-07-23,302.61
125,2020-07-24,283.4
126,2020-07-27,307.92
127,2020-07-28,295.3
128,2020-07-29,299.82
129,2020-07-30,297.5
130,2020-07-31,286.15
131,2020-08-03,297.0
132,2020-08-04,297.4
133,2020-08-05,297.0
134,2020-08-06,297.92
135,2020-08-07,290.54
136,2020-08-10,283.71
137,2020-08-11,274.88
138,2020-08-12,310.95
139,2020-08-13,324.2
140,2020-08-14,330.14
141,2020-08-17,367.13
142,2020-08-18,377.42
143,2020-08-19,375.71
144,2020-08-20,400.37
145,2020-08-21,410.0
146,2020-08-24,402.84
147,2020-08-25,404.67
148,2020-08-26,430.63
149,2020-08-27,447.75
150,2020-08-28,442.68
151,2020-08-31,498.32
152,2020-09-01,475.05
153,2020-09-02,447.37
154,2020-09-03,407.0
155,2020-09-04,418.32
156,2020-09-08,330.21
157,2020-09-09,366.28
158,2020-09-10,371.34
159,2020-09-11,372.72
160,2020-09-14,419.62
161,2020-09-15,449.76
162,2020-09-16,441.76
163,2020-09-17,423.43
164,2020-09-18,442.15
165,2020-09-21,449.39
166,2020-09-22,424.23
167,2020-09-23,380.36
168,2020-09-24,387.79
169,2020-09-25,407.34
170,2020-09-28,421.2
171,2020-09-29,419.07
172,2020-09-30,429.01
173,2020-10-01,448.16
174,2020-10-02,415.09
175,2020-10-05,425.68
176,2020-10-06,413.98
177,2020-10-07,425.3
178,2020-10-08,425.92
179,2020-10-09,434.0
180,2020-10-12,442.3
181,2020-10-13,446.65
182,2020-10-14,461.3
183,2020-10-15,448.88
184,2020-10-16,439.67
185,2020-10-19,430.83
186,2020-10-20,421.94
187,2020-10-21,422.64
188,2020-10-22,425.79
189,2020-10-23,420.63
190,2020-10-26,420.28
191,2020-10-27,424.68
192,2020-10-28,406.02
193,2020-10-29,410.83
194,2020-10-30,388.04
195,2020-11-02,400.51
196,2020-11-03,423.9
197,2020-11-04,420.98
198,2020-11-05,438.09
199,2020-11-06,429.95
200,2020-11-09,421.26
201,2020-11-10,410.36
202,2020-11-11,417.13
203,2020-11-12,411.76
204,2020-11-13,408.5
205,2020-11-16,408.09
206,2020-11-17,441.61
207,2020-11-18,486.64
208,2020-11-19,499.27
209,2020-11-20,489.61
210,2020-11-23,521.85
211,2020-11-24,555.38
212,2020-11-25,574.0
213,2020-11-27,585.76
214,2020-11-30,567.6
215,2020-12-01,584.76
216,2020-12-02,568.82
217,2020-12-03,593.38
218,2020-12-04,599.04
219,2020-12-07,641.76
220,2020-12-08,649.88
221,2020-12-09,604.48
222,2020-12-10,627.07
223,2020-12-11,609.99
224,2020-12-14,639.83
225,2020-12-15,633.25
226,2020-12-16,622.77
227,2020-12-17,655.9
228,2020-12-18,695.0
229,2020-12-21,649.86
230,2020-12-22,640.34
231,2020-12-23,645.98
232,2020-12-24,661.77
233,2020-12-28,663.69
234,2020-12-29,665.99
235,2020-12-30,694.78
236,2020-12-31,705.67
237,2021-01-04,729.77
238,2021-01-05,735.11
239,2021-01-06,755.98
240,2021-01-07,816.04
241,2021-01-08,880.02
242,2021-01-11,811.19
243,2021-01-12,849.44
244,2021-01-13,854.41
245,2021-01-14,845.0
246,2021-01-15,826.16
247,2021-01-19,844.55
248,2021-01-20,850.45
249,2021-01-21,844.99
250,2021-01-22,846.64
251,2021-01-25,880.8
